"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"202","Tata Steel Limited","TATASTEEL","P&F | F.A","-1.89%","138.85","3,77,64,696"
"110","The Ramco Cements Limited","RAMCOCEM","P&F | F.A","-1.91%","968.65","6,60,141"
"150","Apollo Tyres Limited","APOLLOTYRE","P&F | F.A","-1.92%","461.4","15,20,153"
"146","Varun Beverages Limited","VBL","P&F | F.A","-1.95%","521.95","84,22,092"
"132","Tata Motors Limited","TATAMOTORS","P&F | F.A","-1.96%","655.25","1,32,07,043"
"135","CG Power and Industrial Solutions Ltd","CGPOWER","P&F | F.A","-2%","633.1","32,24,438"
"12","Bajaj Finance Limited","BAJFINANCE","P&F | F.A","-2.03%","9112","10,89,354"
"14","Bajaj Auto Limited","BAJAJ-AUTO","P&F | F.A","-2.04%","8034","5,08,224"
"36","Pi Industries Limited","PIIND","P&F | F.A","-2.04%","3583.9","1,10,845"
"167","Iifl Holdings Limited","IIFL","P&F | F.A","-2.07%","366.2","23,00,780"
"179","Bank Of Baroda","BANKBARODA","P&F | F.A","-2.07%","246.79","1,28,40,481"
"67","Deepak Nitrite Limited","DEEPAKNTR","P&F | F.A","-2.08%","1961.3","1,62,712"
"162","Tata Power Company Limited","TATAPOWER","P&F | F.A","-2.08%","387.6","1,42,33,760"
"175","Bharat Petroleum Corporation Limited","BPCL","P&F | F.A","-2.09%","295.7","77,73,037"
"43","Pidilite Industries Limited","PIDILITIND","P&F | F.A","-2.12%","3011.2","2,39,482"
"101","Dr. Reddy's Laboratories Limited","DRREDDY","P&F | F.A","-2.14%","1174.8","12,86,573"
"210","Sjvn Limited","SJVN","P&F | F.A","-2.16%","96.64","1,16,24,755"
"143","Jindal Stainless Limited","JSL","P&F | F.A","-2.19%","559.4","9,43,949"
"178","Jio Financial Services Ltd","JIOFIN","P&F | F.A","-2.21%","253.05","3,33,48,716"
"8","Dixon Technologies","DIXON","P&F | F.A","-2.22%","16219","6,09,389"
"51","Colgate Palmolive (india) Limited","COLPAL","P&F | F.A","-2.22%","2671.4","4,37,084"
"160","Indus Towers Ltd (Bharti Infratel)","INDUSTOWER","P&F | F.A","-2.25%","397.35","67,32,062"
"44","Srf Limited","SRF","P&F | F.A","-2.32%","2968.1","3,33,048"
"54","Balkrishna Industries Limited","BALKRISIND","P&F | F.A","-2.32%","2518.2","4,78,982"
"216","IDFC First Bank Ltd","IDFCFIRSTB","P&F | F.A","-2.32%","66.08","4,75,89,266"
"116","Zydus Lifesciences Ltd","ZYDUSLIFE","P&F | F.A","-2.34%","859.65","10,90,283"
"169","Crompton Greaves Consumer Electricals Limited","CROMPTON","P&F | F.A","-2.35%","334.85","25,61,400"
"163","Birlasoft Ltd","BSOFT","P&F | F.A","-2.38%","386.05","29,93,690"
"80","Tata Communications Limited","TATACOMM","P&F | F.A","-2.39%","1569.6","6,99,413"
"33","Hindustan Aeronautics Ltd","HAL","P&F | F.A","-2.41%","4196.4","22,98,293"
"48","Siemens Limited","SIEMENS","P&F | F.A","-2.41%","2833.5","7,76,070"
"74","The Phoenix Mills Limited","PHOENIXLTD","P&F | F.A","-2.42%","1629","8,40,140"
"184","Ashok Leyland Limited","ASHOKLEY","P&F | F.A","-2.42%","225.04","69,84,672"
"96","Prestige Estates Projects Limited","PRESTIGE","P&F | F.A","-2.49%","1261.8","4,78,778"
"164","Hindustan Petroleum Corporation Limited","HINDPETRO","P&F | F.A","-2.5%","380.7","25,52,932"
"172","Power Grid Corporation Of India Limited","POWERGRID","P&F | F.A","-2.51%","306.5","1,14,75,773"
"3","CNXMIDCAP","CNXMIDCAP","P&F | F.A","-2.55%","53570.2","0"
"47","Cummins India Limited","CUMMINSIND","P&F | F.A","-2.55%","2861.1","5,24,622"
"42","Torrent Pharmaceuticals Limited","TORNTPHARM","P&F | F.A","-2.59%","3238.9","3,30,175"
"174","Bharat Electronics Limited","BEL","P&F | F.A","-2.65%","297.6","2,03,07,004"
"34","Computer Age Management Services Ltd","CAMS","P&F | F.A","-2.66%","3938.1","4,94,714"
"61","Muthoot Finance Limited","MUTHOOTFIN","P&F | F.A","-2.66%","2093.2","7,04,651"
"90","Central Depository Services Ltd","CDSL","P&F | F.A","-2.67%","1330.9","99,92,155"
"189","The Federal Bank  Limited","FEDERALBNK","P&F | F.A","-2.68%","196.49","79,77,095"
"203","Indian Oil Corporation Limited","IOC","P&F | F.A","-2.7%","134.65","1,46,63,542"
"208","Steel Authority Of India Limited","SAIL","P&F | F.A","-2.73%","114.81","2,46,05,025"
"32","Avenue Supermarts","DMART","P&F | F.A","-2.75%","4375.2","5,40,513"
"207","Bank Of India","BANKINDIA","P&F | F.A","-2.77%","115.29","1,02,50,155"
"19","Multi Commodity Exchange Of India Limited","MCX","P&F | F.A","-2.78%","6052.5","6,70,041"
"206","Union Bank Of India","UNIONBANK","P&F | F.A","-2.79%","124.94","1,34,96,266"
"62","Godrej Properties Limited","GODREJPROP","P&F | F.A","-2.81%","2085.3","11,41,824"
"63","Bajaj Finserv Limited","BAJAJFINSV","P&F | F.A","-2.83%","2045.5","19,60,343"
"17","Apollo Hospitals Enterprise Limited","APOLLOHOSP","P&F | F.A","-2.88%","6953","5,50,158"
"211","Canara Bank","CANBK","P&F | F.A","-2.88%","96.53","4,14,13,435"
"18","BSE (Bombay stock exchange)","BSE","P&F | F.A","-2.93%","6303.5","42,81,653"
